datasetID,forestRemnantID,decimalLatitude,decimalLongitude,forestRemnantAreaInHectares,distanceFromMainlandInMeters,richnessAll,richnessForest
Aurelio-Silva2016,Gaviao Real,-1.612222222,-59.63527778,1690,3641,27,27
Aurelio-Silva2016,Porto,-1.799444444,-59.51555556,1466,11,35,33
Aurelio-Silva2016,Fuzaca,-1.5,-59.85222222,761,1.1,33,32
Aurelio-Silva2016,Beco do Catitu,-1.735,-59.70361111,637.5,4037,26,24
Aurelio-Silva2016,Martelo,-1.667777778,-59.70861111,471,10483,31,30
Aurelio-Silva2016,Vizinha Furo,-1.737222222,-59.42361111,312,3.3,31,31
Aurelio-Silva2016,Cipoal,-1.695,-59.78138889,218.7,3696,24,22
Aurelio-Silva2016,Furo,-1.746111111,-59.44,193,1001,35,35
Aurelio-Silva2016,Vizinha Beco,-1.735833333,-59.72444444,170,4730,17,17
Aurelio-Silva2016,Pontal,-1.833055556,-59.68861111,110.4,22,19,18
Aurelio-Silva2016,Sapupara,-1.6975,-59.61055556,78.4,3905,23,22
Aurelio-Silva2016,Relogio,-1.676111111,-59.64833333,72.1,7964,16,15
Aurelio-Silva2016,Bacaba,-1.5,-59.8225,53.3,3641,20,19
Aurelio-Silva2016,Panema IV,-1.509444444,-59.80527778,52.6,5137,14,14
Aurelio-Silva2016,Bacaba III,-1.511388889,-59.79916667,38.7,5720,17,17
Aurelio-Silva2016,Bacaba V,-1.509166667,-59.79722222,37.1,6413,16,16
Aurelio-Silva2016,Panema III,-1.772777778,-59.69611111,33,2112,15,14
Aurelio-Silva2016,Panema II,-1.777777778,-59.69305556,28.1,2046,20,20
Aurelio-Silva2016,Palhal,-1.791666667,-59.44777778,21.2,5071,11,10
Aurelio-Silva2016,Coata,-1.486944444,-59.78722222,17.5,5808,10,9
Aurelio-Silva2016,Sem nome,-1.781388889,-59.68833333,17.3,2332,10,9
Aurelio-Silva2016,Anta,-1.794444444,-59.37527778,16.6,4037,6,6
Aurelio-Silva2016,Piquia,-1.505,-59.78944444,13.6,6853,10,9
Aurelio-Silva2016,Bacaba II,-1.502777778,-59.81972222,13.5,4653,11,11
Aurelio-Silva2016,Abusado,-1.761111111,-59.67805556,13.4,4697,9,9
Aurelio-Silva2016,Bacaba IV,-1.503888889,-59.79833333,13.4,6039,11,11
Aurelio-Silva2016,Panema,-1.773611111,-59.69194444,3.5,2816,3,3
Bueno2018,Divisa,-4.206111111,-49.50111111,2551.45,1,128,114
Bueno2018,Pedral,-4.378888889,-49.59194444,1823.35,103.68,119,110
Bueno2018,Marcelo,-4.154722222,-49.54583333,342.43,379.03,76,69
