"datasetID","forestRemnantID","decimalLatitude","decimalLongitude","forestRemnantAreaInHectares","matrixType","timeSinceIsolationInYears","firstYearSurvey"
"Anciaes2000","C1",-22.65,-50.4,2180,"terrestrial",NA,1997
"Anciaes2000","C2",-22.6,-43.7,30000,"terrestrial",NA,1997
"Anciaes2000","C3",-20.83333,-42.65,13000,"terrestrial",NA,1997
"Anciaes2000","C4",-25.3,-48.31667,120000,"terrestrial",NA,1997
"Anciaes2000","C5",-25.46667,-48.83333,150000,"terrestrial",NA,1997
"Anciaes2000","C6",-22.48333,-44.55,25000,"terrestrial",NA,1997
"Anciaes2000","C7",-24.33944,-47.00552,70000,"terrestrial",NA,1997
"Anciaes2000","F1",-22.68333,-44.31667,15,"terrestrial",30,1997
"Anciaes2000","F2",-20.01667,-44.05,100,"terrestrial",20,1998
"Anciaes2000","F3",-22.9,-47.05,250,"terrestrial",20,1996
"Anciaes2000","F4",-22.73333,-46.9,250,"terrestrial",20,1997
"Anciaes2000","F5",-23.9,-51.96667,350,"terrestrial",50,1997
"Anjos2004","FA",-23.46972222,-51.23833333,56,"terrestrial",40,1997
"Anjos2004","FB",-23.47527778,-51.25305556,25,"terrestrial",40,1997
"Anjos2004","FC",-23.47527778,-51.25638889,11,"terrestrial",40,1997
"Anjos2004","FD",-23.41777778,-51.23333333,87,"terrestrial",43,2000
"Anjos2004","FE",-23.405,-51.32583333,350,"terrestrial",43,2000
"Anjos2004","FG",-23.45888889,-51.21083333,285,"terrestrial",43,2000
"Anjos2004","FH",-23.48944444,-51.19388889,72,"terrestrial",43,2000
"Anjos2004","FI",-23.50277778,-51.07833333,184,"terrestrial",43,2000
"Anjos2004","FJ",-23.49555556,-51.08861111,393,"terrestrial",43,2000
"Anjos2004","FM",-23.47027778,-51.04805556,564,"terrestrial",43,2000
"Anjos2004","FN",-23.39444444,-51.01611111,387,"terrestrial",43,2000
"Anjos2004","FO",-23.445,-51.00333333,70,"terrestrial",43,2000
"Anjos2004","HI",-23.25583333,-51.03083333,60,"terrestrial",40,1997
"Anjos2004","PG",-23.45222222,-51.25222222,656,"terrestrial",40,1997
"Araujo2013","LFR1",-9.026319445,-35.84484723,3227.3,"terrestrial",NA,2012
"Araujo2013","LFR2",-9.245097223,-35.83166667,2861.6,"terrestrial",NA,2012
"Araujo2013","LFR3",-9.225611111,-35.89434722,7787.5,"terrestrial",NA,2012
"Araujo2013","MFR1",-9.152777778,-35.81488889,128.5,"terrestrial",NA,2012
"Araujo2013","MFR2",-9.3035,-35.8405,155.5,"terrestrial",NA,2012
"Araujo2013","MFR3",-9.094222222,-35.82813889,198.1,"terrestrial",NA,2012
"Araujo2013","MFR4",-9.066333333,-35.77116667,315.3,"terrestrial",NA,2012
"Araujo2013","MFR5",-9.061333333,-35.75216667,338.1,"terrestrial",NA,2012
"Araujo2013","MFR6",-9.165555556,-35.82594444,454.1,"terrestrial",NA,2012
"Araujo2013","SFR1",-9.226,-35.84969444,22.9,"terrestrial",NA,2012
"Araujo2013","SFR2",-9.310916667,-35.89777778,24.4,"terrestrial",NA,2012
"Araujo2013","SFR3",-9.246805556,-35.80588889,26.1,"terrestrial",NA,2012
"Araujo2013","SFR4",-9.142666667,-35.82516667,34.1,"terrestrial",NA,2012
"Araujo2013","SFR5",-9.093361111,-35.80891667,47.4,"terrestrial",NA,2012
"Araujo2013","SFR6",-9.098472222,-35.77302778,76.6,"terrestrial",NA,2012
"Aurelio-Silva2016","Abusado",-1.761111111,-59.67805556,13.4,"aquatic",22,2009
"Aurelio-Silva2016","Anta",-1.794444444,-59.37527778,16.6,"aquatic",22,2009
"Aurelio-Silva2016","Bacaba",-1.5,-59.8225,53.3,"aquatic",22,2009
"Aurelio-Silva2016","Bacaba II",-1.502777778,-59.81972222,13.5,"aquatic",22,2009
"Aurelio-Silva2016","Bacaba III",-1.511388889,-59.79916667,38.7,"aquatic",22,2009
"Aurelio-Silva2016","Bacaba IV",-1.503888889,-59.79833333,13.4,"aquatic",22,2009
"Aurelio-Silva2016","Bacaba V",-1.509166667,-59.79722222,37.1,"aquatic",22,2009
