datasetID,forestRemnantID,decimalLatitude,decimalLongitude,richnessAll,richnessForest,forestRemnantAreaInHectares,matrixType,treeCover50m,treeCover100m,treeCover150m,treeCover200m,treeCover250m,treeCover300m,treeCover350m,treeCover400m,treeCover450m,treeCover500m,treeCover550m,treeCover600m,treeCover650m,treeCover700m,treeCover750m,treeCover800m,treeCover850m,treeCover900m,treeCover950m,treeCover1000m,treeCover1050m,treeCover1100m,treeCover1150m,treeCover1200m,treeCover1250m,treeCover1300m,treeCover1350m,treeCover1400m,treeCover1450m,treeCover1500m,treeCover1550m,treeCover1600m,treeCover1650m,treeCover1700m,treeCover1750m,treeCover1800m,treeCover1850m,treeCover1900m,treeCover1950m,treeCover2000m,elevationInMeters,speciesPool,timeSinceIsolationInYears,firstYearSurvey
Anciaes2000,C1,-22.65,-50.4,30,28,2180,terrestrial,0,0,0,0.574712644,1.486988848,2.094240838,3.071017274,3.479576399,3.708133971,3.996101365,3.688853248,3.415300546,3.331385155,2.927814235,2.635046113,2.400309717,2.140144978,1.910631741,1.710344828,1.547678482,1.409090909,1.285773538,1.174464861,1.079763149,0.996464159,0.939177102,0.939486046,0.899627297,0.935812837,0.988319856,1.040462428,1.10323089,1.14195525,1.165542021,1.173165896,1.209425718,1.25767552,1.363125351,1.48,1.551811502,571.8045654,450,NA,1997
Anciaes2000,C2,-22.6,-43.7,25,24,30000,terrestrial,44.44444444,39.13043478,46.72897196,56.06936416,57.85440613,51.84210526,48.36852207,46.00301659,42.21954162,41.71539961,41.88102894,41.90020506,42.22222222,43.71529531,44.60052678,44.75116641,44.7232726,44.90612496,45.52733297,45.26790185,45.27532291,45.5186722,45.92957213,46.11371935,46.23172103,46.96585657,47.36406293,47.65635033,48.60911271,49.6125772,50.21030494,50.75832184,50.94287041,51.20925342,51.57024793,52.00436749,52.34357645,52.73033945,52.94,53.50310402,103.0153198,547,NA,1997
Anciaes2000,C3,-20.83333,-42.65,31,30,13000,terrestrial,0,0,0,2.747252747,4.511278195,7.989690722,9.803921569,11.16071429,10.69711538,9.643201543,8.833063209,8.259986459,8.362573099,8.52557673,8.620689655,8.301158301,8.080110497,7.75122549,8.367968966,8.624127617,8.795454545,9.100310238,9.588000759,9.982578397,10.17221954,10.60380726,11.18948824,11.67245147,11.83815584,11.96590782,12.24876355,12.51480458,12.45932125,12.44747899,12.43698868,12.50390992,12.65616914,12.81258781,12.96099055,13.215328,801.0657959,486,NA,1997
Anciaes2000,C4,-25.3,-48.31667,37,33,120000,terrestrial,100,59.57446809,50,51.14942529,49.25373134,45.28795812,45.10556622,45.31722054,47.90919952,51.31450828,54.77145148,55.46448087,57.22644822,58.48484848,59.23650724,59.93800852,60.40013798,60.82537727,61.82068966,63.42315369,65.09884117,66.40398175,67.43041091,68.46689895,69.26045016,69.55419711,69.3285438,68.78374904,68.45009597,68.21244105,67.88942611,67.82437099,67.73444754,67.70349601,67.63612328,67.51990011,67.27582125,67.28663672,67.22437008,67.15860147,2.884477139,503,NA,1997
Anciaes2000,C5,-25.46667,-48.83333,22,22,150000,terrestrial,93.75,90.90909091,86.45833333,84.39306358,82.60869565,81.91489362,82.08661417,81.1746988,76.41509434,73.34611697,72.71986971,72.43502052,71.74290677,71.39278557,70.06200177,68.18358615,66.47220316,65.33986528,64.52777778,64.14621933,64.21457673,64.04123711,64.41355674,64.64840342,64.83534137,64.80712166,64.82997918,64.73162569,64.76373231,64.92052832,64.97686159,65.51008304,66.05052944,66.48030052,66.95041322,67.35491944,67.65837774,68.22482304,68.60573716,68.84559244,13.23412514,511,NA,1997
Anciaes2000,C6,-22.48333,-44.55,28,28,25000,terrestrial,0,4.255319149,4.672897196,4.597701149,7.251908397,8.90052356,8.030592734,7.41301059,6.763285024,5.452775073,4.567307692,4.07885792,3.617269545,3.129732458,2.719298246,2.749806352,2.759572266,2.896764253,2.868174297,3.171036205,3.390216155,4.187396352,4.997160704,5.894627021,6.316297011,6.767029364,7.0008285,7.516675218,8.10843229,8.568220101,8.752758222,8.59929078,8.563997771,8.602715725,8.559153999,8.661048689,8.774527953,8.993816751,9.167277819,9.259611122,410.996582,536,NA,1997
Anciaes2000,C7,-24.33944,-47.00552,26,25,70000,terrestrial,100,100,100,100,100,99.73614776,97.33333333,95.38002981,91.51515152,87.6097561,83.80112269,81.11413043,78.43822844,75.13895907,72.34881683,70.18561485,68.08143547,65.83487369,64.34878587,63.32084894,62.27531286,61.23886472,60.54976303,59.74952166,59.34579439,58.65513642,58.26315063,57.85357097,57.65949778,57.15889949,56.83823529,56.28878164,55.77889447,55.01051156,54.46583492,53.84555382,53.2089718,52.55500105,51.96,51.44358617,108.7291565,507,NA,1997
Anciaes2000,F1,-22.68333,-44.31667,24,18,15,terrestrial,33.33333333,23.40425532,18.18181818,16,13.53383459,12.82722513,13.3072407,12.89355322,11.75059952,12.06225681,12.91632819,12.46612466,11.58572264,10.67134269,10.32656664,10.5019305,10.78938297,11.03955842,11.36048767,11.62094763,11.83162685,11.86931348,12.02736082,12.09269908,11.87911911,11.77870315,12.12204887,12.2734867,12.51348436,13.0117779,13.58193277,14.1192733,14.62780769,15.08839489,15.41384437,15.56441526,15.5445398,15.64606742,15.88,15.82720122,462.0958557,550,30,1997
Anciaes2000,F2,-20.01667,-44.05,22,21,100,terrestrial,0,17.0212766,23.23232323,21.71428571,18.42105263,18.8976378,19.56947162,17.39130435,14.86810552,14.57528958,15.27213647,16.24573379,17.49561147,19.49874687,20.77635642,22.26939406,22.90444981,23.39773076,23.35180055,23.08075773,22.91950887,22.41058507,21.71352584,21.57546183,21.45267556,21.258554,20.71398921,20.28016964,19.86580398,19.3718452,18.8675281,18.23924201,17.59955444,16.85629267,16.19165634,15.59202814,14.99075102,14.51646885,14.04,13.6649514,901.6851196,473,20,1998
Anciaes2000,F3,-22.9,-47.05,17,13,250,terrestrial,0,0,0,0,0,0,0,0,0,0.194931774,0.240192154,0.203804348,0.175029172,0.151515152,0.131694469,0.116144019,0.27605245,0.61633282,1.047697822,1.422510606,1.500682128,1.824212272,2.065567557,2.19665272,2.143778208,1.983298539,1.836762878,1.706003079,1.595298069,1.493710692,1.397352385,1.309828639,1.281813115,1.235108619,1.206212822,1.224648986,1.221227148,1.229709788,1.199920005,1.171627612,663.8359985,515,20,1996
