datasetID,forestRemnantID,timeSinceIsolationInYears,firstYearSurvey,matrixQuality,matrixDescription,matrixDescriptionNote,matrixMapBiomasBuffer1km,timeSinceIsolationInYearsNote
Anciaes2000,C1,NA,1997,intermediate,pasture | sugarcane,inferred by Chase Mendenhall,"Urban Area (66%), Mosaic of Uses (18%), Pasture (16%), Coffee (0%)",NA
Anciaes2000,C2,NA,1997,intermediate,pasture | sugarcane,inferred by Chase Mendenhall,"Pasture (43%), Mosaic of Uses (41%), Urban Area (16%), Other non Vegetated Areas (1%), River, Lake and Ocean (0%)",NA
Anciaes2000,C3,NA,1997,intermediate,pasture | sugarcane,inferred by Chase Mendenhall,"Pasture (73%), Urban Area (15%), Mosaic of Uses (12%), Other non Vegetated Areas (0%)",NA
Anciaes2000,C4,NA,1997,intermediate,pasture | sugarcane,inferred by Chase Mendenhall,"Wooded Sandbank Vegetation (57%), Mosaic of Uses (24%), Mangrove (10%), Herbaceous Sandbank Vegetation (2%), River, Lake and Ocean (2%), Other non Vegetated Areas (2%), Other Temporary Crops (1%), Urban Area (0%), Pasture (0%)",NA
Anciaes2000,C5,NA,1997,intermediate,pasture | sugarcane,inferred by Chase Mendenhall,"Mosaic of Uses (54%), Wooded Sandbank Vegetation (28%), Pasture (9%), Soybean (6%), Urban Area (2%), Other non Vegetated Areas (1%), Other Temporary Crops (1%), Rocky Outcrop (0%)",NA
Anciaes2000,C6,NA,1997,intermediate,pasture | sugarcane,inferred by Chase Mendenhall,"Pasture (68%), Urban Area (18%), Mosaic of Uses (14%), Other Temporary Crops (0%)",NA
Anciaes2000,C7,NA,1997,intermediate,pasture | sugarcane,inferred by Chase Mendenhall,"Mosaic of Uses (55%), Urban Area (26%), River, Lake and Ocean (8%), Wooded Sandbank Vegetation (4%), Mangrove (3%), Other non Vegetated Areas (2%), Herbaceous Sandbank Vegetation (2%), Beach, Dune and Sand Spot (1%)",NA
Anciaes2000,F1,30,1997,intermediate,pasture | sugarcane,inferred by Chase Mendenhall,"Pasture (73%), Urban Area (16%), Mosaic of Uses (12%)",NA
Anciaes2000,F2,20,1998,intermediate,pasture | sugarcane,inferred by Chase Mendenhall,"Mosaic of Uses (35%), Urban Area (33%), Pasture (17%), Grassland (12%), Other non Vegetated Areas (4%)",NA
Anciaes2000,F3,20,1996,intermediate,pasture | sugarcane,inferred by Chase Mendenhall,"Urban Area (97%), Mosaic of Uses (3%), Other Temporary Crops (0%)",NA
Anciaes2000,F4,20,1997,intermediate,pasture | sugarcane,inferred by Chase Mendenhall,"Mosaic of Uses (43%), Urban Area (43%), Pasture (14%)",NA
Anciaes2000,F5,50,1997,intermediate,pasture | sugarcane,inferred by Chase Mendenhall,"Soybean (41%), Other Temporary Crops (37%), Mosaic of Uses (17%), Pasture (6%)",NA
Anjos2004,FA,40,1997,intermediate,agriculture (soybean),obtained from study publication,NA,NA
Anjos2004,FB,40,1997,intermediate,agriculture (soybean),obtained from study publication,NA,NA
Anjos2004,FC,40,1997,intermediate,agriculture (soybean),obtained from study publication,NA,NA
Anjos2004,FD,43,2000,intermediate,agriculture (soybean),obtained from study publication,NA,NA
Anjos2004,FE,43,2000,intermediate,agriculture (soybean),obtained from study publication,NA,NA
Anjos2004,FG,43,2000,intermediate,agriculture (soybean),obtained from study publication,NA,NA
Anjos2004,FH,43,2000,intermediate,agriculture (soybean),obtained from study publication,NA,NA
Anjos2004,FI,43,2000,intermediate,agriculture (soybean),obtained from study publication,NA,NA
Anjos2004,FJ,43,2000,intermediate,agriculture (soybean),obtained from study publication,NA,NA
Anjos2004,FM,43,2000,intermediate,agriculture (soybean),obtained from study publication,NA,NA
Anjos2004,FN,43,2000,intermediate,agriculture (soybean),obtained from study publication,NA,NA
Anjos2004,FO,43,2000,intermediate,agriculture (soybean),obtained from study publication,NA,NA
Anjos2004,HI,40,1997,intermediate,agriculture (60%) | urban (40%),obtained from study publication,NA,NA
Anjos2004,PG,40,1997,intermediate,agriculture (soybean),obtained from study publication,NA,NA
Araujo2013,LFR1,NA,2012,intermediate,pasture | sugarcane,obtained from Marcio A. Efe,NA,NA
Araujo2013,LFR2,NA,2012,intermediate,pasture | sugarcane,obtained from Marcio A. Efe,NA,NA
Araujo2013,LFR3,NA,2012,intermediate,pasture | sugarcane,obtained from Marcio A. Efe,NA,NA
Araujo2013,MFR1,NA,2012,intermediate,pasture,obtained from Marcio A. Efe,NA,NA
